word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
#agh,1.20677186363591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agile,1.42991541495012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agitated,1.42991541495012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agony,0.0,0.0,0.0,0.0,0.0,1.81511699274067,0.0,0.0
#agoraphobia,0.0,0.0,0.0,1.95195360556393,0.0,0.0,0.0,0.0
#ah,0.0,0.816092414706127,0.0,0.0,0.746898151213758,0.0,0.0638665479607386,0.0
#ahh,0.0,0.0,0.0,1.17328425156582,0.359995060965653,0.0,0.0,0.0
#ahhh,0.0,0.0542397602758086,0.0,1.35283537465226,0.102828532439823,0.0,0.0,0.0
#ahhhh,0.0,0.315665498161035,0.0,1.28290397658305,0.0,0.0,0.0,0.0
#ahhhhh,0.0027990593099734,0.0,0.0,1.29802713815727,0.0,0.0,0.0,0.0
#ahhhhhh,0.0,0.0,0.0,1.17876371733045,0.0,0.0,0.0,0.0
#ahlersdesigns,0.0,0.0,0.0,0.0,2.16828383214492,0.0,0.0,0.0
#ahs,0.0,1.35017490063639,0.0,0.0,0.0,0.0,0.443798354063738,0.0
#aintnobodygottimeforthat,0.687978070220742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alcohol,0.736768234390174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#algeria,0.0,0.0,0.0,1.68958934109644,0.0,0.0,0.0,0.0
#alive,0.0,0.0,0.0,0.0,1.72645107986588,0.0,0.0,0.0
#all,0.0,0.0,0.878222952369356,0.0,0.0,0.0,0.0,0.0
#allah,0.0,0.0,0.0,0.971124352552206,0.0,0.0,0.0,0.0
#allnighter,0.0,0.0,0.0,0.853341316895822,0.0,0.0,0.540790620051048,0.0
#allsmiles,0.0,0.0,0.0,0.0,1.41451202976854,0.0,0.0,0.0
#almostdone,0.0,0.0,0.0,0.0,0.0,0.0,0.999744413110199,0.0
#alone,0.0,0.0,0.436390200090317,0.0,0.0,1.47408893958359,0.0,0.0
#always,0.266764605144438,0.0,0.0,0.190965795002631,0.206625326121466,0.0,0.0,0.322003855420547
#alwayshappens,0.890918914217432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
